CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,Option_CPS,Option_FL,Option_UH,Option_Read,Option_Math,LANGTEST_COG,BOOKID,CM033Q01S,CM033Q01T,CM474Q01S,CM474Q01T,CM155Q01S,CM155Q01T,CM155Q04S,CM155Q04T,CM411Q01S,CM411Q01T,CM411Q02S,CM411Q02T,CM803Q01S,CM803Q01T,CM442Q02S,CM442Q02T,CM034Q01S,CM034Q01T,CM305Q01S,CM305Q01T,CM496Q01S,CM496Q01T,CM496Q02S,CM496Q02T,CM423Q01S,CM423Q01T,CM603Q01S,CM603Q01T,CM571Q01S,CM571Q01T,CM564Q01S,CM564Q01T,CM564Q02S,CM564Q02T,total_raw,total_time
158,TAP,15800038,15801678,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,87314,1,35412,1,137800,0,51034,1,111674,1,41059,0,35764,0,121566,0,107725,0,103357,1,94867,1,33213,1,15595,1,96690,1,102532,1,68310,0,41861,10,1285773
158,TAP,15800039,15802823,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35341,1,20974,1,42197,1,37696,1,101785,1,45882,1,35883,0,101223,1,70802,1,60534,1,67092,1,23252,1,15880,1,89146,1,63082,1,28800,1,29422,16,868991
158,TAP,15800040,15801845,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,34751,1,131181,1,4036,0,115103,1,111166,0,61575,0,80259,0,228978,0,59942,1,122813,0,150587,1,73855,1,18138,1,137618,0,114470,1,4088,0,164165,8,1612725
158,TAP,15800041,15806392,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,52343,1,38695,1,44413,1,61700,1,95504,1,66440,1,88332,1,148370,1,123993,1,79162,1,58974,1,29617,1,10286,1,84608,1,59660,1,41503,1,81022,17,1164622
158,TAP,15800042,15806446,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,29739,1,146502,1,109561,1,50666,1,114318,1,59566,1,125556,1,224730,1,178944,1,119757,1,108461,1,108012,1,19009,0,166096,1,125430,1,5784,1,75172,16,1767303
158,TAP,15800043,15802996,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,36751,1,28623,1,64927,1,45217,0,203461,1,26933,1,46606,1,84061,1,83620,0,27430,1,7332,1,2545,1,13356,0,91526,1,64433,1,26537,1,38396,14,891754
158,TAP,15800044,15805950,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,54268,1,87878,1,40325,1,93036,0,95824,1,48353,0,119044,1,127361,0,112950,0,78463,1,116038,1,43054,1,18373,1,124340,1,252170,0,33358,1,43489,12,1488324
158,TAP,15800044,15802883,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,23335,0,60761,1,43001,0,32282,0,125241,1,18299,0,71737,0,99056,0,160511,0,30090,1,23668,1,3161,1,13694,0,26840,0,19378,1,25340,0,15877,7,792271
158,TAP,15800045,15805716,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,21676,1,27502,1,30531,1,41865,0,89689,1,20894,1,52660,0,116948,0,137010,1,76787,1,75506,1,113509,1,10475,0,120185,1,55073,1,3276,1,113874,13,1107460
158,TAP,15800046,15800752,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35808,1,45862,1,66974,1,63461,1,167135,0,35408,1,66683,1,145995,1,82751,1,69249,1,29348,1,41183,1,46167,1,82008,0,94029,1,5360,1,107284,15,1184705
158,TAP,15800047,15803296,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,47858,1,36925,1,28207,1,54628,1,121004,1,53179,0,62561,0,157368,1,93473,1,106916,1,19714,1,3388,1,24392,1,122992,1,97348,1,1267,1,27811,15,1059031
158,TAP,15800048,15804876,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,29676,1,21388,1,43349,0,28153,0,92827,0,89245,0,32711,0,167551,1,66311,0,42671,0,73430,1,21972,0,30997,0,66682,1,33975,1,38662,0,101350,6,980950
158,TAP,15800050,15805767,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,45513,1,25953,1,53301,1,84002,1,149933,0,22148,0,119787,0,116454,1,160537,1,131977,1,24362,1,25413,1,26696,1,76085,1,49607,1,45473,0,32456,13,1189697
158,TAP,15800051,15801758,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,111035,0,44903,1,114174,1,63035,1,146147,1,43585,0,239928,1,166177,0,83186,0,149731,1,91666,0,246356,1,22276,1,86647,1,143698,1,39837,1,239582,12,2031963
158,TAP,15800052,15805172,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,20677,1,19255,0,1877,0,65608,0,105481,0,59041,0,68980,0,158499,0,87550,0,40606,1,23728,1,47446,1,14213,1,54701,1,98502,1,36546,1,55506,9,958216
158,TAP,15800053,15801339,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,17694,0,20574,1,57440,1,33438,1,3428,1,32113,1,42441,0,144618,1,83923,1,41922,0,39209,1,33308,0,25757,1,168629,1,73631,1,39563,1,49180,13,906868
158,TAP,15800054,15804609,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,84698,1,29817,0,93277,1,39952,0,314306,1,77696,0,115980,0,143492,1,136335,1,117482,1,46995,1,2751,1,33791,0,98344,0,65500,1,53387,0,44569,10,1498372
158,TAP,15800055,15806067,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35007,1,36650,0,22625,0,38386,1,80531,0,12200,0,31235,0,129330,0,70574,1,206349,0,122483,1,108556,1,14153,1,62900,1,210028,0,152715,1,49173,9,1382895
158,TAP,15800057,15803574,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,18947,1,39364,1,76598,1,76373,1,117242,0,67746,0,74478,0,217037,1,82758,0,86906,1,223124,1,64102,1,28467,1,82676,0,42701,0,150752,0,212345,9,1661616
158,TAP,15800058,15801574,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,36912,1,41448,1,105448,1,56216,1,143338,1,43589,1,74823,1,147953,1,105054,1,160904,1,114874,1,69512,1,18869,1,107750,1,68598,1,106200,1,78737,17,1480225
158,TAP,15800059,15804391,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,26490,0,23139,1,55789,0,52114,0,78059,0,23465,0,72660,0,76241,0,81129,1,19503,0,46246,1,54679,1,14599,1,41617,0,10266,0,54688,0,94974,6,825658
158,TAP,15800060,15802014,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,32253,1,30308,1,68771,0,72752,1,151047,1,41767,0,41437,0,270094,0,99043,1,61888,1,100569,1,43718,0,22832,0,59124,0,26814,1,68639,0,19447,8,1210503
158,TAP,15800061,15806557,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,16105,1,32362,1,49757,1,43160,0,156055,1,41048,1,49291,1,147052,1,70892,1,45112,1,11554,1,10871,1,13483,0,66396,0,15483,1,26070,1,26894,14,821585
158,TAP,15800062,15805076,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,18716,1,34520,1,1559,1,37896,1,135756,1,29982,0,57582,0,167869,0,81520,0,34722,0,34284,1,36404,1,32600,0,108544,1,109639,1,38200,0,27911,9,987704
158,TAP,15800063,15805602,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,26491,0,17808,0,662,0,64146,0,96558,0,42105,0,40707,0,197102,0,145502,0,63675,0,96413,0,83590,1,26611,1,53234,0,72289,1,27847,0,138362,4,1193102
158,TAP,15800064,15804357,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,80210,1,32638,1,1294,1,84395,1,214287,0,72318,1,157462,0,167950,1,90946,0,85098,0,35042,1,73160,1,27679,1,117958,0,103417,0,52321,1,178529,11,1574704
158,TAP,15800066,15800854,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,25208,1,38238,1,82950,1,81311,1,114468,0,49044,0,73482,1,151574,1,67715,0,48630,0,79912,1,54364,1,38770,0,101962,0,108005,0,38602,0,56512,9,1210747
158,TAP,15800068,15802655,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,23751,0,55649,1,83982,1,72719,0,291374,1,36661,0,42458,0,136007,1,113536,0,58934,0,76330,0,19925,1,27893,0,29795,0,8622,1,75366,1,52406,7,1205408
158,TAP,15800069,15801095,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,165300,0,15310,1,43020,0,14485,0,10029,0,20947,0,37954,0,18297,0,51029,1,13034,0,360108,0,35851,1,5730,1,8870,0,22727,1,19841,0,8974,5,851506
